;id;Landkreis;Einwohner_pro_qkm;Bevölkerung;anteil_bevölkerung_0_bis_44;arbeitslosenqoute;pkw_bestand_je_tsd_einwohner;bip_je_erwerbstätigen;krankenhausbetten_je_tsd_einwohner
190;8136;Ostalbkreis;208;314025;0.4959999999999999;0.0279999999999999;645.9;78856.0;3.4
191;8211;Baden-Baden, Stadtkreis;394;55185;0.442;0.043;625.4;67986.0;14.6
192;8212;Karlsruhe, Stadtkreis;1799;312060;0.5569999999999999;0.039;449.4;82321.0;8.6
193;8215;Karlsruhe;410;445101;0.48099999999999987;0.0279999999999999;621.4;77931.0;2.1
194;8216;Rastatt;313;231420;0.47299999999999986;0.0289999999999999;648.9;84426.0;1.9
195;8221;Heidelberg, Stadtkreis;1484;161485;0.609;0.04;376.8;71862.0;18.8
196;8222;Mannheim, Stadtkreis;2143;310658;0.5529999999999999;0.053;488.2;82727.0;7.7
197;8225;Neckar-Odenwald-Kreis;128;143633;0.469;0.03;646.6;67957.0;3.5
198;8226;Rhein-Neckar-Kreis;517;548355;0.48099999999999987;0.035;637.3;77919.0;2.8
199;8231;Pforzheim, Stadtkreis;1285;125957;0.5349999999999999;0.0559999999999999;488.1;65650.0;9.7
200;8235;Calw;200;159201;0.485;0.0289999999999999;650.6;67673.0;7.9
201;8236;Enzkreis;348;199556;0.47999999999999987;0.023;655.8;71502.0;1.6
202;8237;Freudenstadt;136;118243;0.485;0.0279999999999999;642.1;72645.0;4.1
203;8311;Freiburg im Breisgau, Stadtkreis;1511;231195;0.591;0.049;401.2;66022.0;9.8
204;8315;Breisgau-Hochschwarzwald;191;263601;0.48;0.027;596.4;64472.0;5.1
205;8316;Emmendingen;245;166408;0.482;0.025;602.1;69292.0;6.2
206;8317;Ortenaukreis;232;430953;0.488;0.0289999999999999;624.5;69700.0;5.3
207;8325;Rottweil;182;139878;0.4859999999999999;0.023;662.8;78470.0;6.0
208;8326;Schwarzwald-Baar-Kreis;207;212506;0.4879999999999999;0.03;611.4;67178.0;6.1
209;8327;Tuttlingen;192;140766;0.517;0.027;621.9;76411.0;2.6
210;8335;Konstanz;350;286305;0.5049999999999998;0.031;555.2;66433.0;5.8
211;8336;Lörrach;284;228736;0.49;0.034;592.4;70209.0;3.7
212;8337;Waldshut;151;171003;0.489;0.0289999999999999;620.9;66780.0;4.2
213;8415;Reutlingen;263;287034;0.496;0.033;619.3;73350.0;4.4
214;8416;Tübingen;441;228678;0.554;0.026;545.0;66627.0;8.6
215;8417;Zollernalbkreis;206;189363;0.47199999999999986;0.032;668.6;70378.0;2.9
216;8421;Ulm, Stadtkreis;1068;126790;0.5640000000000001;0.033;524.1;76650.0;12.2
217;8425;Alb-Donau-Kreis;145;197076;0.508;0.023;640.4;74434.0;2.2
218;8426;Biberach;143;201282;0.518;0.02;643.7;90353.0;4.0
219;8435;Bodenseekreis;327;217470;0.47899999999999987;0.023;628.8;89038.0;3.5
220;8436;Ravensburg;175;285424;0.508;0.024;620.8;74034.0;6.1
221;8437;Sigmaringen;109;130849;0.489;0.027;646.9;68838.0;5.1
222;9161;Ingolstadt;1030;137392;0.5519999999999998;0.0289999999999999;715.1;135780.0;9.6
223;9162;München, Landeshauptstadt;4777;1484226;0.575;0.035;493.2;103335.0;7.7
224;9163;Rosenheim;1707;63551;0.5329999999999999;0.039;544.5;65574.0;12.1
225;9171;Altötting;196;111516;0.481;0.0279999999999999;626.1;88044.0;5.3
226;9172;Berchtesgadener Land;126;105929;0.479;0.033;607.1;63642.0;6.4
